DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,147,150,147,149.5,7239400,150.5
20170105,150.5,154,150,153.5,15745500,154
20170106,154,154,152.5,152.5,6743100,153
20170109,153,153,150.5,151,5734300,151
20170110,151,153.5,151,153,4839500,153.5
20170111,153.5,156.5,153,155,12043600,155.5
20170112,155.5,156,153.5,154,7291300,154.5
20170113,154.5,155.5,153,155,4884900,154.5
20170116,154.5,156.5,154,155.5,4748500,155
20170117,155,156.5,154.5,156.5,5448100,156.5
20170118,156.5,157,155,155,4458300,155
20170119,155,156,154.5,155,3779900,155
20170120,155,156.5,154.5,155.5,3758100,155.5
20170123,155.5,156.5,155,155,1846700,155.5
20170124,155.5,156,155,155,5032600,155.5
20170125,155.5,162,155,161.5,17182900,163.5
20170126,163.5,164,161.5,162.5,9659100,162
20170127,162,164.5,161,163,7115000,162
20170130,162,163,162,162,3392600,161
20170131,161,161,158.5,159,8637100,158
20170201,158,161,157,160.5,7204700,160.5
20170202,160.5,161.5,160,160.5,2835800,160
20170203,160,160.5,159,160.5,4846300,160.5
20170206,160.5,162,158.5,161.5,9702200,161.5
20170207,161.5,164.5,161,163.5,11256600,164
20170208,164,171,163.5,170.5,28107900,169.5
20170209,169.5,171.5,169.5,170,11464400,170.5
20170210,170.5,171,168.5,169,13558500,170
20170214,170,170.5,169,169.5,17601000,168.5
20170215,168.5,170.5,168,169,19782400,168.5
20170216,168.5,170.5,168.5,169.5,7248600,170.5
20170217,170.5,174,170.5,171.5,14106500,172
20170220,172,172.5,170,170,5758000,170
20170221,170,170.5,168,168,6086300,168
20170222,168,169.5,166.5,169.5,5839200,168.5
20170223,168.5,170.5,168,169,6663300,169
20170224,169,170.5,169,170.5,4159600,169
20170227,169,170.5,169,169,6311200,169
20170228,169,170,167,167,6185500,167.5
20170301,167.5,170.5,167,170,5971200,170
20170302,170,171,169.5,169.5,8771600,170
20170303,170,171,169.5,169.5,5420900,168.5
20170306,168.5,170,168,169.5,6453400,169
20170307,169,171.5,168.5,169.5,7023800,168.5
20170308,168.5,170.5,168.5,169.5,5636900,170
20170309,170,171,168.5,169,8672500,169
20170310,169,169.5,167.5,169.5,5652500,170
20170313,170,170.5,169.5,170.5,5059500,170.5
20170314,170.5,171,169.5,170,3288100,170
20170315,170,171,169.5,171,5512800,172
20170316,172,176,171.5,175,15796800,175.5
20170317,175.5,176.5,174.5,176,9356700,176
20170320,176,179.5,176,177,7832700,177.5
20170321,177.5,178.5,177,177,3686300,176
20170322,176,177,175.5,176.5,3744400,177.5
20170323,177.5,178,176.5,176.5,6402000,176.5
20170324,176.5,179.5,176.5,178.5,9180100,179.5
20170327,179.5,179.5,178,178,3812100,178.5
20170328,178.5,180.5,178.5,180.5,8550800,180
20170329,180,181,178.5,179,4521800,179
20170330,179,180.5,178,179.5,8577100,179.5
20170331,179.5,180,178,178,3165900,178.5
20170403,178.5,179,175.5,176,5464600,175
20170404,175,175.5,173.5,174,8280800,169
20170405,169,171,168.5,171,6941300,171.5
20170407,171.5,175,171,174.5,6642000,173
20170410,173,174.5,173,173.5,3502400,173.5
20170411,173.5,175.5,173.5,174,2730800,174.5
20170412,174.5,177,174,176,7199600,175.5
20170417,175.5,175.5,174,175,2418200,175.5
20170418,175.5,176,173.5,173.5,2617200,173.5
20170419,173.5,173.5,172,172,3864600,172
20170420,172,176,172,173.5,8646200,174.5
20170421,174.5,175.5,174,174,6234800,173
20170424,173,174.5,173,174.5,3997600,175
20170425,175,175.5,173,175.5,3831500,175.5
20170426,175.5,175.5,172,175.5,6264200,174.5
20170427,174.5,175,173,175,5528900,175
20170428,175,175.5,173.5,175,5928000,175.5
20170502,175.5,176,174.5,175.5,3755300,175
20170503,175,177,175,177,7153400,177
20170504,177,178,176,177.5,3286600,177.5
20170505,177.5,178.5,177,177,3321200,177.5
20170508,177.5,179.5,177,179,4121500,179
20170509,179,179.5,178,179.5,3087600,179
20170511,179,182.5,178,180.5,10683700,181
20170512,181,181.5,178,179.5,6244900,178.5
20170515,178.5,179.5,177.5,179.5,3395000,178.5
20170516,178.5,181,178.5,180.5,5430800,180.5
20170517,180.5,181,179,180,5313800,179
20170518,179,180,178.5,179.5,4287500,179.5
20170519,179.5,180,179,179.5,4151300,178
20170522,178,178.5,177,178.5,5313800,178
20170523,178,179,177.5,177.5,3993400,177.5
20170524,177.5,179,177,178,8098700,178
20170525,178,178.5,177,177.5,3833200,177.5
20170526,177.5,178,177,178,3968800,177.5
20170529,177.5,178.5,177.5,178,3063600,178
20170530,178,178,177,177,2765100,177.5
20170531,177.5,178,173,173,14727500,173.5
20170601,173.5,174,172,173.5,4857800,173.5
20170602,173.5,175,173,174.5,5941300,174
20170605,174,174.5,170,171,17782400,171
20170606,171,173.5,169.5,172.5,12264700,172.5
20170607,172.5,174,172,172.5,3896100,173
20170608,173,173.5,171.5,173,7072600,174
20170609,174,174.5,173,173.5,6487900,174
20170612,174,174,171.5,172.5,2358900,172
20170613,172,173,172,173,4711500,173
20170614,173,174.5,172.5,174.5,3261200,173.5
20170615,173.5,174.5,173.5,173.5,2159200,173.5
20170616,173.5,174,172.5,173.5,4316600,174
20170619,174,175.5,173.5,175.5,3657200,175.5
20170620,175.5,176,175,175.5,1955100,174.5
20170621,174.5,177.5,174.5,177.5,7936900,178
20170622,178,179.5,178,179,8482700,179.5
20170623,179.5,180.5,179,179.5,5066900,179.5
20170626,179.5,180,178,178.5,1976100,178.5
20170627,178.5,179,178,178.5,1962800,178.5
20170628,178.5,179,176,177,3639600,177.5
20170629,177.5,178,176,176,3702800,176.5
20170630,176.5,179,176.5,177.5,4915400,177.5
20170703,177.5,180,177.5,180,4406700,179.5
20170704,179.5,180,177,178,3978500,178
20170705,178,179,177.5,179,1811100,179
20170706,179,180.5,179,179.5,6892000,179.5
20170707,179.5,180,178,180,3907200,180
20170711,180,183.5,179.5,183.5,8290200,184.5
20170712,184.5,188,183.5,187.5,12838700,189.5
20170713,189.5,190.5,186.5,187,8893900,188
20170714,188,189.5,188,189.5,7397000,189.5
20170717,189.5,190,187,187.5,2899700,187.5
20170718,187.5,188,184.5,185.5,9087100,186
20170719,186,189,185.5,187.5,5185400,187.5
20170720,187.5,188,186,187,5036800,186
20170721,186,186.5,184,185,5315400,185.5
20170724,185.5,189,185,188.5,6567400,189
20170725,189,191,188,191,9736200,190.5
20170726,190.5,191,187.5,188.5,6931300,188.5
20170727,188.5,188.5,186.5,188,4632200,187
20170731,187,187,183,185.5,19656600,185
20170801,185,186.5,184.5,185.5,6495200,186
20170802,186,186,184,184.5,7627100,185
20170803,185,188.5,185,188,9163700,188.5
20170804,188.5,189.5,187,188,5245400,184
20170807,184,184.5,182.5,182.5,5791000,183.5
20170808,183.5,184.5,183,184,2945100,184.5
20170809,184.5,184.5,183,184,2131800,184
20170810,184,184.5,182.5,182.5,2425400,182
20170811,182,182.5,178,178.5,7915200,179
20170815,179,180,178,178.5,2907500,178.5
20170816,178.5,180.5,177,180,4844700,180.5
20170817,180.5,180.5,179.5,180,2027500,180
20170818,180,180.5,179,180,3703200,180
20170821,180,182,179.5,181,2985900,181.5
20170822,181.5,181.5,179,181.5,3464000,180.5
20170823,180.5,181.5,180,180,3142500,180.5
20170824,180.5,180.5,179.5,180,1996500,180
20170825,180,185,179.5,182.5,7722000,183.5
20170828,183.5,185,183,185,5969100,186
20170829,186,189.5,185,188,15209700,188.5
20170830,188.5,190,187.5,188,6119500,188
20170831,188,188.5,186,187.5,5872600,188.5
20170901,188.5,191,188,190.5,6572300,190.5
20170904,190.5,192,189.5,192,4822100,191.5
20170905,191.5,191.5,189,191,5339800,189.5
20170906,189.5,190.5,189,190,3756100,190
20170907,190,191,189,190,6324500,191.5
20170908,191.5,194.5,191,192,17800000,192
20170911,192,192,190,191,5127300,191.5
20170912,191.5,192.5,190,191,5671200,192
20170913,192,193.5,191,191,7799200,191.5
20170914,191.5,195,191.5,195,7956400,194.5
20170915,194.5,198,193.5,194.5,10633800,194.5
20170918,194.5,196.5,193.5,194,8975300,194.5
20170919,194.5,195,193,193,6019500,193
20170920,193,193,190.5,190.5,5666300,191
20170921,191,195,191,192.5,7126800,192
20170922,192,194,191.5,191.5,5111000,191.5
20170925,191.5,194,191.5,194,3031100,194.5
20170926,194.5,194.5,192.5,193,4438300,193
20170927,193,194.5,192.5,193,5002400,193.5
20170928,193.5,195,193,193.5,6496400,193
20170929,193,193.5,190,191,7668400,191
20171002,191,192.5,190,191,8039500,192
20171003,192,192.5,190,191,5771100,191.5
20171004,191.5,192,189.5,190,5848200,190
20171005,190,192.5,189.5,192,5382200,192
20171006,192,193,191.5,191.5,4546700,191
20171009,191,192,191,191,3010100,191.5
20171010,191.5,194.5,191.5,194,6673500,194.5
20171011,194.5,195,193,194,4619200,194
20171012,194,195,193.5,195,4699500,195.5
20171016,195.5,198,195,197,8451100,198
20171017,198,199.5,197,199.5,9496100,199.5
20171018,199.5,201,195,195,9406300,194.5
20171019,194.5,195.5,192,192.5,6342600,192.5
20171020,192.5,195.5,192.5,193,9439900,193.5
20171024,193.5,195.5,193.5,195,4043000,196
20171025,196,197.5,195,195.5,5525200,196
20171027,196,197.5,193,193.5,5800300,193.5
20171030,193.5,194.5,192.5,194,7409000,194.5
20171031,194.5,195,193.5,194.5,5169400,195
20171101,195,195.5,193,193,5097700,193
20171102,193,193,185.5,187.5,13243700,189
20171103,189,189,184,184.5,13517200,185
20171106,185,187.5,183.5,186.5,10994500,187
20171107,187,188.5,186.5,186.5,5376000,187
20171108,187,187.5,184.5,184.5,7653300,184.5
20171109,184.5,185,180.5,180.5,15130000,180
20171110,180,182,180,180.5,9398400,180.5
20171113,180.5,181,178,178,9473800,179
20171114,179,181.5,178.5,180.5,5605700,180.5
20171115,180.5,182,180,181,4439600,182
20171116,182,183,181,182,3912400,183
20171117,183,183.5,181.5,182.5,4085500,183
20171120,183,183,179.5,179.5,3975800,180
20171121,180,181,179,179,6054300,180
20171122,180,180,178.5,178.5,3831900,179
20171123,179,179,175,175,10055000,175
20171124,175,177.5,174,177.5,7831000,177.5
20171127,177.5,178.5,177,178,3105200,178
20171128,178,178.5,176,176,4071100,176.5
20171129,176.5,177.5,175.5,176,3665200,175.5
20171130,175.5,177.5,174.5,174.5,8961600,175
20171201,175,176.5,174,175,5503900,175.5
20171204,175.5,176.5,175,176,4091500,175
20171206,175,178,174.5,178,5991400,177.5
20171207,177.5,178,177,178,3702100,178.5
20171208,178.5,179,177,177.5,4003800,177.5
20171212,177.5,179.5,176.5,179,4868000,179.5
20171213,179.5,186,179,186,12878000,185.5
20171214,185.5,187,185,187,7155400,186.5
20171215,186.5,187.5,184.5,185.5,6619500,185.5
20171218,185.5,188,185.5,187,6703000,187
20171219,187,187.5,183,183.5,7766400,184
20171220,184,186,184,184.5,4005600,185
20171221,185,186,184.5,185.5,2187600,186
20171222,186,186,185,186,1875900,186.5
20171225,186.5,187,186,187,1997800,187
20171226,187,187,186,186.5,1562000,187
20171227,187,187.5,185.5,186.5,2968200,188
20171228,188,191,188,189,15192700,189.5
20171229,189.5,191,189,191,4871100,191.5
20180103,191.5,197.5,191,196.5,15405400,196.5
20180104,196.5,197,194,194,8361700,195
20180105,195,197,194.5,195,10294800,195
20180108,195,197,194.5,196,8141500,195.5
20180109,195.5,196,193,194.5,6361600,196
20180110,196,196.5,193.5,194,6947400,194.5
20180111,194.5,194.5,190.5,192,10103200,192
20180112,192,193.5,191.5,192,9137300,192
20180115,192,195.5,191.5,194.5,8688200,195.5
20180116,195.5,195.5,193.5,193.5,4059500,193
20180117,193,193.5,192,192.5,6108400,192.5
20180118,192.5,194,192,192,7735300,191
20180119,191,194,190.5,193,7728300,193
20180122,193,195,192.5,195,6249100,195
20180123,195,197.5,195,196.5,10599600,196.5
20180124,196.5,198,195.5,198,5367500,198
20180125,198,198.5,192.5,193,11350100,193.5
20180126,193.5,194.5,193,194,6132500,195
20180129,195,195.5,193.5,194,4023400,193.5
20180130,193.5,194,192.5,193.5,3250400,193
20180131,193,194.5,192.5,192.5,4256100,193.5
20180201,193.5,195,193,194,3886800,194.5
20180202,194.5,195.5,193.5,194.5,4953200,192
20180205,192,194.5,192,194.5,6542700,191.5
20180206,191.5,192.5,190.5,192,10929700,194
20180207,194,195.5,192,193,10779300,193
20180208,193,194,192,192,3680300,191
20180209,191,192.5,190.5,192.5,5161500,193.5
20180212,193.5,194,193,193.5,3315600,194
20180213,194,196,194,195.5,6603800,196.5
20180214,196.5,196.5,195,195,3175900,195.5
20180215,195.5,196,194.5,196,2323000,196.5
20180216,196.5,197,195,195,1881900,195
20180219,195,195.5,193.5,194,2917800,194
20180220,194,194.5,193.5,193.5,1814300,194
20180221,194,194.5,192.5,192.5,3020400,193
20180222,193,194.5,192,192.5,3616800,193
20180223,193,195,192.5,194.5,2635900,195
20180226,195,196,194.5,196,4477600,197
20180227,197,200,195,196,14386300,196
20180228,196,199.5,196,198,7233100,197.5
20180302,197.5,199.5,196,197,5794800,197
20180305,197,198,194,196.5,6526700,196.5
20180306,196.5,203,196.5,200,14483500,200
20180307,200,201,197.5,197.5,7438000,197.5
20180308,197.5,202,197.5,201,8078000,203
20180309,203,206,202,204,10752100,206
20180312,206,208,205,208,7325100,207
20180313,207,210,207,207,8419900,207
20180314,207,208,206,207,5382300,206
20180315,206,209,203,207,7950800,208
20180316,208,215,207,212,14273600,213
20180319,213,213,208,210,6160600,209
20180320,209,210,207,210,4093700,212
20180321,212,215,209,210,8368700,212
20180322,212,213,208,209,3840400,204
20180323,204,209,204,209,3504100,209
20180326,209,213,209,212,3238900,213
20180327,213,213,206,206,10850000,206
20180328,206,209,205,208,3843200,207
20180329,207,209,206,206,5622200,208
20180330,208,209,206,208,4148700,208
20180402,208,209,207,209,3296000,208
20180403,208,213,206,207,7549600,208
20180404,208,211,202,202,7834600,200
20180405,200,200,196,197,9000400,197
20180409,197,201,197,201,5719200,201
20180410,201,202,199.5,199.5,2482400,199
20180411,199,201,197.5,200,2590400,201
20180412,201,201,200,201,1559800,202
20180417,202,205,201,204,5579200,204
20180418,204,205,201,203,3210200,201
20180419,201,203,199,203,5225400,202
20180420,202,207,202,207,7638000,206
20180423,206,206,204,204,4586300,206
20180424,206,209,206,208,7889300,207
20180425,207,209,206,207,3424800,207
20180426,207,208,204,206,2583600,207
20180427,207,209,205,209,5240400,209
20180430,209,209,207,208,2166100,207
20180502,207,209,206,209,4282400,207
20180503,207,209,206,207,6841300,207
20180504,207,208,206,206,2441100,